sn,host,z,yeps_age,yeps_age.err-,yeps_age.err+,yeps_cur_feh,yeps_cur_feh.err-,yeps_cur_feh.err+,yeps_cur_afe,yeps_cur_afe.err-,yeps_cur_afe.err+,yeps_birth_feh,yeps_birth_feh.err-,yeps_birth_feh.err+,yeps_birth_afe,yeps_birth_afe.err-,yeps_birth_afe.err+,tmj11_age,tmj11_age.err-,tmj11_age.err+,tmj11_cur_feh,tmj11_cur_feh.err-,tmj11_cur_feh.err+,tmj11_cur_afe,tmj11_cur_afe.err-,tmj11_cur_afe.err+,tmj11_birth_feh,tmj11_birth_feh.err-,tmj11_birth_feh.err+,tmj11_birth_afe,tmj11_birth_afe.err-,tmj11_birth_afe.err+,s07_age,s07_age.err-,s07_age.err+,s07_cur_feh,s07_cur_feh.err-,s07_cur_feh.err+,s07_cur_afe,s07_cur_afe.err-,s07_cur_afe.err+,s07_birth_feh,s07_birth_feh.err-,s07_birth_feh.err+,s07_birth_afe,s07_birth_afe.err-,s07_birth_afe.err+,s2_x1,s2_x1.err,s2_c,s2_c.err,s2_hr,s2_hr.err
SN1990af,2MASXJ21345926-6244143,0.050575,5.381,1.395,0.778,0.352,0.148,0.142,0.05,0.032,0.018,0.24438,0.169719,0.173886,-0.05762,0.053719,0.049886,9.201,2.115,2.795,0.2459,0.1226,0.1337,0.132,0.06,0.041,0.0618799999999999,0.190496,0.183086,-0.05202,0.127896,0.090386,9.815,1.708,1.514,0.118,0.086,0.085,0.045,0.031,0.022,-0.0783,0.1276089999999999,0.127267,-0.1513,0.0726089999999999,0.064267,-2.132,0.141,-0.043,0.044,-0.068,0.167
SN1992bo,ESO352-G057,0.018983,7.169,0.967,0.842,0.156,0.057,0.054,0.079,0.022,0.017,0.0126199999999999,0.0818509999999999,0.079542,-0.06438,0.0468509999999999,0.042542,11.874,1.225,1.11,0.012,0.0572,0.0563,0.167,0.033,0.013,-0.22548,0.092384,0.091449,-0.07048,0.068184,0.048149,11.801,0.882,0.987,0.003,0.036,0.046,0.102,0.022,0.019,-0.23302,0.0685279999999999,0.0745589999999999,-0.13402,0.0545279999999999,0.047559,-1.98,0.064,-0.045,0.028,0.234,0.109
SN1993ac,CGCG307-023,0.049,6.646,0.828,0.733,0.166,0.064,0.062,0.26,0.023,0.017,0.03308,0.086039,0.084378,0.12708,0.0450389999999999,0.039378,12.468,1.244,1.169,-0.0909,0.066,0.0641,0.335,0.034,0.014,-0.34026,0.103017,0.100204,0.08564,0.071017,0.050104,11.763,0.867,0.829,-0.024,0.044,0.056,0.306,0.023,0.019,-0.25926,0.073172,0.0842359999999999,0.07074,0.052172,0.047236,-0.896,0.521,0.016,0.042,-0.059,0.204
SN1993ag,2MASXJ10033546-3527410,0.049094,9.28,1.198,1.192,-0.078,0.106,0.106,0.073,0.023,0.015,-0.2636,0.140312,0.138042,-0.1125999999999999,0.057312,0.047042,12.932,1.573,2.287,0.0566,0.0985,0.1095,0.293,0.057,0.028,-0.20204,0.1594589999999999,0.152319,0.0343599999999999,0.1179589999999999,0.070819,12.915,1.369,1.132,-0.169,0.09,0.089,0.137,0.024,0.016,-0.4273,0.126687,0.1279259999999999,-0.1212999999999999,0.060687,0.054926,-0.832,0.136,0.057,0.045,-0.176,0.171
SN1994M,NGC4493,0.023159,4.772,0.654,0.425,0.285,0.074,0.07,0.313,0.023,0.019,0.1895599999999999,0.087697,0.087198,0.2175599999999999,0.036697,0.036198,8.908,1.493,1.676,0.0266,0.0617,0.0691,0.376,0.035,0.015,-0.1515599999999999,0.105804,0.1063749999999999,0.19784,0.079104,0.052275,9.111,1.068,0.88,0.052,0.041,0.046,0.333,0.024,0.021,-0.13022,0.068591,0.075403,0.15078,0.051591,0.050403,-1.405,0.09,0.055,0.028,-0.186,0.11
SN1997E,NGC5490,0.013539,6.797,0.4,0.364,0.375,0.035,0.038,0.289,0.017,0.013,0.23906,0.049441,0.0523969999999999,0.1530599999999999,0.031441,0.027397,14.947,0.692,1.048,0.0138,0.0313,0.0322,0.347,0.021,0.009,-0.28514,0.068255,0.060295,0.0480599999999999,0.057955,0.037095,13.501,0.631,0.6,0.063,0.02,0.021,0.33,0.016,0.014,-0.2070199999999999,0.046101,0.04649,0.05998,0.042101,0.03949,-1.702,0.087,0.016,0.022,0.06,0.087
SN1997cn,NGC2258,0.016195,5.693,0.318,0.282,0.389,0.024,0.025,0.316,0.017,0.014,0.27514,0.035615,0.0367349999999999,0.20214,0.028615,0.025735,12.28,0.991,0.979,0.0282,0.0313,0.0322,0.37,0.021,0.009,-0.2173999999999999,0.064139,0.063309,0.1244,0.053839,0.040109,11.708,0.482,0.455,0.075,0.018,0.019,0.345,0.016,0.014,-0.15916,0.0392629999999999,0.039866,0.1108399999999999,0.037263,0.034866,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
SN1998bp,NGC6495,0.010431,6.371,0.717,0.687,0.245,0.058,0.058,0.359,0.021,0.016,0.1175799999999999,0.078798,0.0779939999999999,0.2315799999999999,0.041798,0.035994,13.777,1.391,1.304,-0.1187,0.061,0.0591,0.405,0.03,0.01,-0.39424,0.1021609999999999,0.099306,0.12946,0.071161,0.050206,12.454,1.195,0.89,-0.005,0.034,0.061,0.405,0.022,0.018,-0.25408,0.0651439999999999,0.096159,0.15592,0.053144,0.053159,-2.492,0.092,0.194,0.024,0.06,0.096
SN1999ej,NGC0495,0.013723,3.456,0.21,0.237,0.558,0.055,0.054,0.146,0.019,0.017,0.48888,0.063433,0.061446,0.0768799999999999,0.027433,0.0244459999999999,3.521,0.391,0.381,0.318,0.0501,0.0473,0.25,0.027,0.01,0.24758,0.061622,0.05825,0.17958,0.038522,0.0209499999999999,5.616,0.479,0.399,0.226,0.034,0.033,0.127,0.019,0.017,0.11368,0.047995,0.0477169999999999,0.01468,0.032995,0.031717,-1.485,0.223,-0.032,0.031,0.578,0.13
SN2000dk,NGC0382,0.017442,6.681,0.858,0.696,0.294,0.055,0.053,0.094,0.022,0.016,0.1603799999999999,0.0762969999999999,0.075983,-0.03962,0.0432969999999999,0.038983,12.401,1.2,1.091,0.1051,0.0538,0.0538,0.169,0.031,0.011,-0.14292,0.0891119999999999,0.0890009999999999,-0.0790199999999999,0.0663119999999999,0.0462009999999999,12.101,0.951,0.867,0.074,0.033,0.032,0.112,0.022,0.018,-0.16802,0.063308,0.0621699999999999,-0.13002,0.0523079999999999,0.04817,-2.047,0.077,-0.023,0.022,-0.06,0.086
